AdE    - Akademio de Esperanto

AM     - aligita membro de UEA (pere de iu landa asocio)

aulem  - Esperanta nova^jgrupo en interreto: alt.uu.lang.esperanto.misc

bk     - bildkarto

CED    - Centro de Esploro kaj Dokumentado pri la monda lingvo-problemo

CD-ROM - codoromo, komputila laserdisko

CO     - Centra Oficejo

^c.    - ^cirka~u

D      - delegito de UEA

dez.   - deziras, dezirantoj

EK     - Esperanto-klubo

EU     - E~uropa Unio

EP     - E~uroparlament/an/o

Eve    - Eventoj

FD     - fakdelegito de UEA

HdE    - Heroldo de Esperanto

i.a.   - inter aliaj

IEM    - Internacia Esperanto-Muzeo

IJF    - Internacia Junulara Festivalo (granda printempa junulara aran^go 
         en Italio)

IJK    - Internacia Junulara Kongreso de TEJO

IJS    - Internacia Junulara Semajno (granda somera junulara aran^go en 
         Hungario)

IM     - individua membro de UEA

IRK    - internacia respondkupono (perpo^sta pagilo)

IS     - Internacia Seminario (granda jarfina junulara aran^go en Germanio)

JD     - junulara delegito de UEA

k      - kaj

k.s.   - kaj similaj

KCE    - Kultura Centro Esperantista (en Svisio)

KD     - kompakt-disko

KKS    - konstanta kongresa sekretario

kor. dez. - korespondi deziras

KSM    - Koresponda Servo Mondskala

LA     - Landa Asocio (ekz. en UEA)

LF-Koop - Kooperativo de "Literatura Foiro"

LKK    - loka kongresa komitato

L.S.   - LINGVO-Studio

LS     - Landa Sekcio (ekz. en TEJO)

MA     - membro-abonanto, individua membro de UEA kun abono al "Esperanto"

MG     - individua membro de UEA kun la "Gvidlibro"

MJ     - individua membro de UEA kun la "Jarlibro"

ndlr   - noto de la redaktoro

OK     - Organiza komitato

p.     - pa^go

p/a    - po^stadrese (^ce la adreso de iu, c/o)

PAG    - Plena Analiza Gramatiko de Esperanto

PIV    - Plena Ilustrita Vortaro de Esperanto

PK     - Plenumkomitato

PMEG   - Plena Manlibro de Esperanta Gramatiko (en interreto)

PS     - Pasporta Servo

red.   - (la) redaktoro

s-ano  - samideano

s-ro   - sinjoro

sce    - Esperanta nova^jgrupo en interreto: soc.culture.esperanto

sk     - sendokostoj

t.e.   - tio estas

UK     - Universala Kongreso de Esperanto

VEB    - Virtuala Esperanto-Biblioteko, la centra Esperanta retpa^go en 
         la reto  http://www.esperanto.net/veb/

VD     - vicdelegito de UEA

Z      - Zamenhof

ZEO    - Zamenhofa a~u Esperanta Objekto

