# Extracted packages (≤ 50 MB)
# Format: disc/package_name  compressed_size_MB  status

1/acl  .3  extracted
1/adduser  .2  extracted
1/advancecomp  1.1  extracted
1/adwaita-icon-theme  16.3  extracted
1/alembic  .5  extracted
1/alsa-driver  3.9  extracted
1/alsa-topology-conf  0  extracted
1/alsa-ucm-conf  0  extracted
1/alsa-utils  1.3  extracted
1/amavisd-new  .8  extracted
1/aodh  .2  extracted
1/apache2  10.1  extracted
1/apparmor  7.5  extracted
1/apport  1.3  extracted
1/apport-symptoms  0  extracted
1/appstream  2.3  extracted
1/apt  2.2  extracted
1/aptdaemon  1.2  extracted
1/apt-listchanges  .1  extracted
1/aspell  3.3  extracted
1/aspell-en  .1  extracted
1/atk1.0  .2  extracted
1/at-spi2-core  .2  extracted
1/attr  .3  extracted
1/audit  1.1  extracted
1/autoconf  1.9  extracted
1/autodep8  0  extracted
1/automake-1.16  1.5  extracted
1/autopkgtest  .2  extracted
1/autotools-dev  0  extracted
1/avahi  1.5  extracted
1/awstats  2.8  extracted
1/barbican  .6  extracted
1/base-files  0  extracted
1/base-passwd  0  extracted
1/bash  5.6  extracted
1/bash-completion  .3  extracted
1/bcache-tools  0  extracted
1/bc  .4  extracted
1/bind9  5.2  extracted
1/binutils  22.8  extracted
1/bison  2.5  extracted
1/bison-doc  .3  extracted
1/blt  1.5  extracted
1/bluez  2.1  extracted
1/branding-ubuntu  .3  extracted
1/brotli  .4  extracted
1/btrfs-progs  2.2  extracted
1/bubblewrap  .1  extracted
1/build-essential  0  extracted
1/busybox  7.5  extracted
1/byobu  .7  extracted
1/bzip2  .7  extracted
1/ca-certificates  .2  extracted
1/ca-certificates-java  0  extracted
1/cd-boot-images-amd64  0  extracted
1/cd-boot-images-arm64  0  extracted
1/cd-boot-images-ppc64el  0  extracted
1/cd-boot-images-riscv64  0  extracted
1/cdebconf  .2  extracted
1/cdrkit  1.4  extracted
1/ceilometer  .8  extracted
1/checksecurity  .2  extracted
1/cifs-utils  .4  extracted
1/cinder  5.7  extracted
1/cloud-init  1.5  extracted
1/cloud-initramfs-tools  0  extracted
1/cloud-utils  0  extracted
1/cluster-glue  .5  extracted
1/clutter-1.0  3.4  extracted
1/cmake  9.3  extracted
1/cogl  1.6  extracted
1/colord  1.8  extracted
1/command-not-found  0  extracted
1/console-setup  1.7  extracted
1/coreutils  5.3  extracted
1/corosync  1.1  extracted
1/cpio  1.3  extracted
1/cracklib2  .6  extracted
1/cron  .1  extracted
1/cryptsetup  11.0  extracted
1/culmus  1.1  extracted
1/cups  8.0  extracted
1/curl  4.0  extracted
1/curtin  .6  extracted
1/cyrus-sasl2  .8  extracted
1/dash  .1  extracted
1/db5.3  18.8  extracted
1/db-defaults  0  extracted
1/dbus  2.0  extracted
1/dconf  .1  extracted
1/dctrl-tools  3.2  extracted
1/debconf  .5  extracted
1/debhelper  .5  extracted
1/debian-goodies  0  extracted
1/debianutils  .1  extracted
1/debootstrap  0  extracted
1/debugedit  .1  extracted
1/designate  .9  extracted
1/desktop-file-utils  0  extracted
