# Skipped packages (> 50 MB)
# Format: disc/package_name  compressed_size_MB

1/fonts-noto-cjk  222.3
1/fonts-noto-color-emoji  135.7
1/fonts-noto  861.8
1/gcc-11  83.4
1/gcc-12  87.8
1/ghostscript  51.1
1/llvm-toolchain-14  123.8
1/llvm-toolchain-15  132.2
1/budgie-wallpapers  285.3
1/calligra  58.8
1/cm-super  64.1
1/codec2  63.5
1/efl  160.8
1/fluid-soundfont  128.6
1/gcc-10  80.8
1/mono  112.2
2/boost1.74  58.0
2/mozjs91  70.7
2/mysql-8.0  417.9
2/nss  78.6
2/nvidia-graphics-drivers-390  123.6
2/nvidia-graphics-drivers-418-server  103.7
2/nvidia-graphics-drivers-430  105.4
2/nvidia-graphics-drivers-440  137.9
2/nvidia-graphics-drivers-450  134.7
2/nvidia-graphics-drivers-450-server  134.5
2/nvidia-graphics-drivers-455  175.0
2/nvidia-graphics-drivers-460  169.9
2/nvidia-graphics-drivers-470  260.6
2/nvidia-graphics-drivers-470-server  260.6
2/nvidia-graphics-drivers-510  516.0
2/hydrogen-drumkits  301.3
2/ilmbase  52.5
2/libapache-poi-java  72.6
2/libmysofa  69.3
3/nvidia-graphics-drivers-440-server  137.0
3/nvidia-graphics-drivers-510-server  516.2
3/nvidia-graphics-drivers-515  564.9
3/nvidia-graphics-drivers-515-server  557.7
3/nvidia-graphics-drivers-525  655.6
3/nvidia-graphics-drivers-525-server  646.0
3/nvidia-graphics-drivers-535  591.6
3/nvidia-graphics-drivers-535-server  605.1
4/libreoffice  881.1
4/linux-allwinner-5.17  198.2
4/linux-aws  196.2
4/linux-azure  196.2
4/linux-ibm  196.0
4/linux-intel-iotg  196.6
4/linux-kvm  196.0
4/linux  195.3
4/linux-lowlatency  197.1
4/linux-oem-5.17  198.3
4/linux-oracle  196.3
4/linux-riscv  195.0
4/linux-starfive-5.17  198.3
4/openjdk-lts  65.7
