kingdom,phylum,subphylum,class_name,subclass,order_name,suborder,infraorder,family_name
Animalia,Chordata,Vertebrata,Holocephali,,Chimaeroidei,,,Callorhinchidae
Animalia,Chordata,Vertebrata,Holocephali,,Chimaeroidei,,,Chimaeridae
Animalia,Chordata,Vertebrata,Holocephali,,Chimaeroidei,,,Rhinochimaeridae
Animalia,Chordata,,Holocephali,,,,,
Animalia,Chordata,Urochordata,Thaliacea,,Salpida,,,Salpidae
Animalia,Chordata,Urochordata,Thaliacea,,Doliolida,,,Doliolidae
Animalia,Chordata,,Thaliacea,,,,,
Animalia,Chordata,Urochordata,Thaliacea,,Pyrosomida,,,Pyrosomatidae
Animalia,Chordata,Urochordata,Appendicularia,,Copelata,,,Kowalewskaiidae
Animalia,Chordata,,Appendicularia,,,,,
Animalia,Chordata,Urochordata,Appendicularia,,Copelata,,,Fritillaridae
Animalia,Chordata,Urochordata,Appendicularia,,Copelata,,,Oikopleuridae
Animalia,Chordata,Vertebrata,Myxini,,Myxiniformes,,,Myxinidae
Animalia,Chordata,,Myxini,,,,,
Animalia,Chordata,Vertebrata,Metatheria,,Peramelemorphia,,,Chaeropodidae
Animalia,Chordata,Vertebrata,Metatheria,,Vombatiformes,,,Phascolarctidae
Animalia,Chordata,Vertebrata,Metatheria,,Notoryctemorphia,,,Notoryctidae
Animalia,Chordata,Vertebrata,Metatheria,,Macropodiformes,,,Hypsiprymnodontidae
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Phalangeridae
Animalia,Chordata,Vertebrata,Metatheria,,Paucituberculata,,,Caenolestidae
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Acrobatidae
Animalia,Chordata,Vertebrata,Metatheria,,Dasyuromorphia,,,Dasyuridae
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Petauridae
Animalia,Chordata,Vertebrata,Metatheria,,Vombatiformes,,,Vombatidae
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Phalangeroidea
Animalia,Chordata,Vertebrata,Metatheria,,Macropodiformes,,,Macropodidae
Animalia,Chordata,Vertebrata,Metatheria,,Microbiotheria,,,Microbiotheriidae
Animalia,Chordata,,Metatheria,,,,,
Animalia,Chordata,Vertebrata,Metatheria,,Peramelemorphia,,,Thylacomyidae
Animalia,Chordata,Vertebrata,Metatheria,,Dasyuromorphia,,,Myrmecobiidae
Animalia,Chordata,Vertebrata,Metatheria,,Macropodiformes,,,Potoroidae
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Petauroidea
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Burramyidae
Animalia,Chordata,Vertebrata,Metatheria,,Dasyuromorphia,,,Thylacinidae
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Tarsipedidae
Animalia,Chordata,Vertebrata,Metatheria,,Didelphimorphia,,,Didelphidae
Animalia,Chordata,Vertebrata,Metatheria,,Phalangeriformes,,,Pseudocheiridae
Animalia,Chordata,Vertebrata,Metatheria,,Peramelemorphia,,,Peramelidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Pycnonotidae
Animalia,Chordata,Vertebrata,Aves,,Musophagiformes,,,Musophagidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Passerellidae
Animalia,Chordata,Vertebrata,Aves,,Charadriiformes,,,Pluvianidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Troglodytidae
Animalia,Chordata,Vertebrata,Aves,,Piciformes,,,Capitonidae
Animalia,Chordata,Vertebrata,Aves,,Pelecaniformes,,,Threskiornithidae
Animalia,Chordata,Vertebrata,Aves,,Accipitriformes,,,Accipitridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Eupetidae
Animalia,Chordata,Vertebrata,Aves,,Procellariiformes,,,Hydrobatidae
Animalia,Chordata,Vertebrata,Aves,,Psittaciformes,,,Cacatuidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Nesospingidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Emberizidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Menuridae
Animalia,Chordata,Vertebrata,Aves,,Accipitriformes,,,Pandionidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Picathartidae
Animalia,Chordata,Vertebrata,Aves,,Piciformes,,,Lybiidae
Animalia,Chordata,Vertebrata,Aves,,Apodiformes,,,Aegothelidae
Animalia,Chordata,Vertebrata,Aves,,Coliiformes,,,Coliidae
Animalia,Chordata,Vertebrata,Aves,,Anseriformes,,,Anhimidae
Animalia,Chordata,Vertebrata,Aves,,Pelecaniformes,,,Scopidae
Animalia,Chordata,Vertebrata,Aves,,Galliformes,,,Cracidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Climacteridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Stenostiridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Zeledoniidae
Animalia,Chordata,Vertebrata,Aves,,Suliformes,,,Phalacrocoracidae
Animalia,Chordata,Vertebrata,Aves,,Steatornithiformes,,,Steatornithidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Hirundinidae
Animalia,Chordata,Vertebrata,Aves,,Piciformes,,,Ramphastidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Pipridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Pardalotidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Ptilonorhynchidae
Animalia,Chordata,Vertebrata,Aves,,Nyctibiiformes,,,Nyctibiidae
Animalia,Chordata,Vertebrata,Aves,,Tinamiformes,,,Tinamidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Acanthizidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Calyptomenidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Atrichornithidae
Animalia,Chordata,Vertebrata,Aves,,Columbiformes,,,Columbidae
Animalia,Chordata,Vertebrata,Aves,,Struthioniformes,,,Struthionidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Panuridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Melanocharitidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Rhipiduridae
Animalia,Chordata,Vertebrata,Aves,,Pelecaniformes,,,Pelecanidae
Animalia,Chordata,Vertebrata,Aves,,Strigiformes,,,Strigidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Malaconotidae
Animalia,Chordata,Vertebrata,Aves,,Bucerotiformes,,,Upupidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Oriolidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Aegithalidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Tyrannidae
Animalia,Chordata,Vertebrata,Aves,,Charadriiformes,,,Glareolidae
Animalia,Chordata,Vertebrata,Aves,,Pterocliformes,,,Pteroclidae
Animalia,Chordata,Vertebrata,Aves,,Coraciiformes,,,Todidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Prunellidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Neosittidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Pomatostomidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Viduidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Dicruridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Platysteiridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Acrocephalidae
Animalia,Chordata,Vertebrata,Aves,,Galliformes,,,Numididae
Animalia,Chordata,Vertebrata,Aves,,Coraciiformes,,,Meropidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Ifritidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Mimidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Polioptilidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Nicatoridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Icteridae
Animalia,Chordata,Vertebrata,Aves,,Bucerotiformes,,,Bucerotidae
Animalia,Chordata,Vertebrata,Aves,,Accipitriformes,,,Cathartidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Calcariidae
Animalia,Chordata,Vertebrata,Aves,,Gruiformes,,,Heliornithidae
Animalia,Chordata,Vertebrata,Aves,,Anseriformes,,,Anatidae
Animalia,Chordata,Vertebrata,Aves,,Gruiformes,,,Aramidae
Animalia,Chordata,Vertebrata,Aves,,Procellariiformes,,,Oceanitidae
Animalia,Chordata,Vertebrata,Aves,,Charadriiformes,,,Laridae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Turdidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Rhodinocichlidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Meliphagidae
Animalia,Chordata,Vertebrata,Aves,,Mesitornithiformes,,,Mesitornithidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Machaerirhynchidae
Animalia,Chordata,Vertebrata,Aves,,Charadriiformes,,,Ibidorhynchidae
Animalia,Chordata,Vertebrata,Aves,,Piciformes,,,Galbulidae
Animalia,Chordata,Vertebrata,Aves,,Charadriiformes,,,Turnicidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Alaudidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Cotingidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Zosteropidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Pachycephalidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Hypocoliidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Ploceidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Ptiliogonatidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Chloropseidae
Animalia,Chordata,Vertebrata,Aves,,Sphenisciformes,,,Spheniscidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Salpornithidae
Animalia,Chordata,Vertebrata,Aves,,Passeriformes,,,Tichodromidae
