density_mid,samples,selected,selection_rate
0.3125,5611,1,0.00017822278
0.4375,37101,20,0.00053906946
0.5625,94004,73,0.00077656164
0.6875,170325,180,0.00105674374
0.8125,259617,287,0.00110501357
0.9375,353314,409,0.00115759987
1.0625,446553,666,0.00149143384
1.1875,529899,865,0.00163237862
1.3125,597200,1098,0.00183927864
1.4375,634998,1305,0.00205512458
1.5625,631745,1397,0.00221106596
1.6875,578510,1290,0.00223029161
1.8125,451656,1116,0.00247125496
1.9375,209467,554,0.00264561589
TOTAL,5000000,9261,0.0018522
