black_pixels,count,candidate_count
23,1,0
24,3,0
25,4,0
26,12,0
27,38,0
28,90,0
29,180,0
30,415,0
31,927,0
32,1898,0
33,3789,0
34,6794,0
35,11883,0
36,20171,0
37,32883,0
38,50763,0
39,75471,0
40,108605,0
41,147231,0
42,192624,0
43,242769,0
44,291253,0
45,337800,0
46,374153,0
47,397593,0
48,404276,0
49,398420,0
50,373785,0
51,337867,0
52,291912,0
53,242611,0
54,193487,0
55,147394,0
56,107677,0
57,75442,0
58,50972,0
59,32404,0
60,20291,0
61,12078,0
62,6723,0
63,3659,0
64,1950,0
65,948,0
66,438,0
67,177,0
68,78,0
69,37,0
70,15,0
71,6,0
72,2,0
73,1,0
